Date/time,,",",Major,Function,",",Process,",",Status,,",",File,",",Type,,",","not used,",Minor,"Function,","not used,",Oper,ation flags,,,,",","not used,",IRP Flags,,,,",","not used,",PID,",",Threa,"dID,",C,"PU,"
9/27/2019,31:25.9,",",0x11,IRP_MJ_LOCK_CONTROL,",",MsMpEng.exe,",",0,STATUS_SUCCESS,",",C:\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.,"db-shm                                              ,",Fast,I/O,",",",",0x01,",",",",0xCD,,,,,",",",",0x00000000,,,,",",",",142,"0,",1940,",",1,","
9/27/2019,31:25.9,",",0x11,IRP_MJ_LOCK_CONTROL,",",MsMpEng.exe,",",0,STATUS_SUCCESS,",",C:\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.,"db-shm                                              ,",Fast,I/O,",",",",0x02,",",",",0xF0,,,,,",",",",0x00000000,,,,",",",",142,"0,",1940,",",1,","
9/27/2019,31:25.9,",",0x00,IRP_MJ_CREATE,",",MsMpEng.exe,",",0,STATUS_SUCCESS,",",C:\Windows\System32\services.exe,",",Irp,(NPP),",",",",0x00,",",",",0xCD,(SL_FORCE_ACCESS_CHECK,SL_OPEN_TARGET_DIRE,CTORY  SL_CASE_SENSITIVE,),",",",",0x00000884,IRP_SYNCHRONOUS_API  IRP_CREATE_OPERATION  IRP_DEFER_IO_COMPLETION,,,",",",",142,"0,",1940,",",1,","
9/27/2019,31:25.9,",",0x0A,IRP_MJ_QUERY_VOLUME_INFORMATION,",",MsMpEng.exe,",",0,STATUS_SUCCESS,",",C:\Windows\System32\services.exe,",",Irp,(NPP),",",",",0x00,",",",",0xCD,,,,,",",",",0x00060870,IRP_BUFFERED_IO  IRP_DEALLOCATE_BUFFER  IRP_INPUT_OPERATION  IRP_SYNCHRONOUS_PAGING,IRP_DEFER_IO_COMPLE,TION,",",",",142,"0,",1940,",",1,","
9/27/2019,31:25.9,",",0x05,IRP_MJ_QUERY_INFORMATION,",",MsMpEng.exe,",",80000005,STATUS_BUFFER_OVERFLOW,",",C:\Windows\System32\services.exe,",",Irp,(NPP),",",",",0x00,",",",",0xCD,,,,,",",",",0x00060870,IRP_BUFFERED_IO  IRP_DEALLOCATE_BUFFER  IRP_INPUT_OPERATION  IRP_SYNCHRONOUS_PAGING,IRP_DEFER_IO_COMPLE,TION,",",",",142,"0,",1940,",",1,","
9/27/2019,31:25.9,",",0x0A,IRP_MJ_QUERY_VOLUME_INFORMATION,",",MsMpEng.exe,",",0,STATUS_SUCCESS,",",C:\Windows\System32\services.exe,",",Irp,(NPP),",",",",0x00,",",",",0xFF,,,,,",",",",0x00060870,IRP_BUFFERED_IO  IRP_DEALLOCATE_BUFFER  IRP_INPUT_OPERATION  IRP_SYNCHRONOUS_PAGING,IRP_DEFER_IO_COMPLE,TION,",",",",142,"0,",1940,",",1,","
9/27/2019,31:25.9,",",0x05,IRP_MJ_QUERY_INFORMATION,",",MsMpEng.exe,",",80000005,STATUS_BUFFER_OVERFLOW,",",C:\Windows\System32\services.exe,",",Irp,(NPP),",",",",0x00,",",",",0xCD,,,,,",",",",0x00060870,IRP_BUFFERED_IO  IRP_DEALLOCATE_BUFFER  IRP_INPUT_OPERATION  IRP_SYNCHRONOUS_PAGING,IRP_DEFER_IO_COMPLE,TION,",",",",142,"0,",1940,",",1,","
9/27/2019,31:25.9,",",0x0D,IRP_MJ_FILE_SYSTEM_CONTROL,",",MsMpEng.exe,",",0,STATUS_SUCCESS,",",C:\Windows\System32\services.exe,",",Irp,,",",",",0x00,",",",",0xCD,,,,,",",",",0x00060800,IRP_DEFER_IO_COMPLETION,,,",",",",142,"0,",1940,",",1,","
9/27/2019,31:25.9,",",0x12,IRP_MJ_CLEANUP,",",MsMpEng.exe,",",0,STATUS_SUCCESS,",",C:\Windows\System32\services.exe,",",Irp,,",",",",0x00,",",",",0xCD,,,,,",",",",0x00000404,IRP_SYNCHRONOUS_API  IRP_CLOSE_OPEARTION,,,",",",",142,"0,",1940,",",1,","
9/27/2019,31:25.9,",",0x02,IRP_MJ_CLOSE,",",MsMpEng.exe,",",0,STATUS_SUCCESS,",",C:\Windows\System32\services.exe,",",Irp,,",",",",0x00,",",",",0xCD,,,,,",",",",0x00000404,IRP_SYNCHRONOUS_API  IRP_CLOSE_OPEARTION,,,",",",",142,"0,",1940,",",1,","
9/27/2019,31:26.3,",",0xF2,IRP_MJ_NETWORK_QUERY_OPEN,",",USBGuard.exe,",",C01C0004,STATUS_FLT_DISALLOW_FAST_IO,",",C:\Program Files (x86)\USB Disk Security\config.ini,",",Fast,I/O,",",",",0x00,",",",",0xCD,,,,,",",",",0x00000000,,,,",",",",696,",",248,",",1,","
